IP:62.48.187.246   Website:www.pornhub.com

2023-04-04 00:09:51 INFO:Logging results to trials/2023-04-04_00:09:51/logs
2023-04-04 00:09:51 INFO:Strategies will only be allowed to use protocols: TCP
2023-04-04 00:09:51 INFO:Initializing 1000 strategies with 0 input-action trees and 1 output-action trees of input size 2 and output size 2 for evolution over 10 generations.
2023-04-04 00:09:51 INFO:================================================================================================================================
2023-04-04 00:09:51 INFO:Generation 0:

  0%|          | 0/1000 [00:00<?, ?it/s]
  9%|▉         | 92/1000 [01:13<12:47,  1.18it/s]
  9%|▉         | 93/1000 [01:14<12:26,  1.22it/s]
  9%|▉         | 94/1000 [01:15<12:11,  1.24it/s]
 10%|▉         | 95/1000 [01:16<11:54,  1.27it/s]
 10%|▉         | 96/1000 [01:16<11:46,  1.28it/s]
 10%|▉         | 97/1000 [01:17<11:36,  1.30it/s]
 10%|▉         | 98/1000 [01:18<11:43,  1.28it/s]
 10%|▉         | 99/1000 [01:19<11:45,  1.28it/s]
 10%|█         | 100/1000 [01:20<11:33,  1.30it/s]
 10%|█         | 101/1000 [01:20<11:37,  1.29it/s]
 10%|█         | 102/1000 [01:21<11:43,  1.28it/s]
 10%|█         | 103/1000 [01:22<11:36,  1.29it/s]
 10%|█         | 104/1000 [01:23<11:31,  1.30it/s]
 10%|█         | 105/1000 [01:23<11:27,  1.30it/s]
 11%|█         | 106/1000 [01:24<11:35,  1.29it/s]
 11%|█         | 107/1000 [01:25<11:43,  1.27it/s]
 11%|█         | 108/1000 [01:26<11:40,  1.27it/s]
 11%|█         | 109/1000 [01:27<11:38,  1.28it/s]
 11%|█         | 110/1000 [01:27<11:52,  1.25it/s]
 11%|█         | 111/1000 [01:28<12:47,  1.16it/s]
 11%|█         | 112/1000 [01:29<12:21,  1.20it/s]
 11%|█▏        | 113/1000 [01:30<12:06,  1.22it/s]
 11%|█▏        | 114/1000 [01:31<11:57,  1.23it/s]
 12%|█▏        | 115/1000 [01:32<11:43,  1.26it/s]
 12%|█▏        | 116/1000 [01:32<11:41,  1.26it/s]
 12%|█▏        | 117/1000 [01:33<11:47,  1.25it/s]
 12%|█▏        | 118/1000 [01:34<11:46,  1.25it/s]
 12%|█▏        | 119/1000 [01:35<12:27,  1.18it/s]
 12%|█▏        | 120/1000 [01:36<12:11,  1.20it/s]
 12%|█▏        | 121/1000 [01:37<12:10,  1.20it/s]
 12%|█▏        | 122/1000 [01:37<11:56,  1.23it/s]
 12%|█▏        | 124/1000 [01:38<09:06,  1.60it/s]
 12%|█▎        | 125/1000 [01:39<09:33,  1.53it/s]
 13%|█▎        | 126/1000 [01:40<10:03,  1.45it/s]
 13%|█▎        | 127/1000 [01:40<10:23,  1.40it/s]
 13%|█▎        | 128/1000 [01:41<10:46,  1.35it/s]
 13%|█▎        | 129/1000 [01:42<11:07,  1.30it/s]
 13%|█▎        | 130/1000 [01:43<11:35,  1.25it/s]
 13%|█▎        | 131/1000 [01:44<11:24,  1.27it/s]
 13%|█▎        | 132/1000 [01:44<11:16,  1.28it/s]
 13%|█▎        | 133/1000 [01:46<13:37,  1.06it/s]
 13%|█▎        | 134/1000 [01:47<12:59,  1.11it/s]
 14%|█▎        | 135/1000 [01:47<12:22,  1.16it/s]
 14%|█▎        | 136/1000 [01:48<12:04,  1.19it/s]
 14%|█▎        | 137/1000 [01:49<11:43,  1.23it/s]
 14%|█▍        | 138/1000 [01:50<11:33,  1.24it/s]
 14%|█▍        | 139/1000 [01:51<12:51,  1.12it/s]
 14%|█▍        | 140/1000 [01:52<12:35,  1.14it/s]
 14%|█▍        | 141/1000 [01:52<11:56,  1.20it/s]
 14%|█▍        | 142/1000 [01:53<11:36,  1.23it/s]
 14%|█▍        | 143/1000 [01:54<11:30,  1.24it/s]
 14%|█▍        | 144/1000 [01:55<11:20,  1.26it/s]
 14%|█▍        | 145/1000 [01:55<11:18,  1.26it/s]
 15%|█▍        | 146/1000 [01:56<11:06,  1.28it/s]
 15%|█▍        | 147/1000 [01:57<11:13,  1.27it/s]
 15%|█▍        | 148/1000 [01:58<11:10,  1.27it/s]
 15%|█▍        | 149/1000 [01:59<11:12,  1.27it/s]
 15%|█▌        | 150/1000 [01:59<11:06,  1.27it/s]
 15%|█▌        | 151/1000 [02:00<11:07,  1.27it/s]
 15%|█▌        | 152/1000 [02:01<11:30,  1.23it/s]
 15%|█▌        | 153/1000 [02:02<11:18,  1.25it/s]
 15%|█▌        | 154/1000 [02:03<11:19,  1.24it/s]
 16%|█▌        | 155/1000 [02:03<11:05,  1.27it/s]
 16%|█▌        | 156/1000 [02:04<11:40,  1.20it/s]
 16%|█▌        | 157/1000 [02:05<11:27,  1.23it/s]
 16%|█▌        | 158/1000 [02:06<11:37,  1.21it/s]
 16%|█▌        | 159/1000 [02:07<11:27,  1.22it/s]
 16%|█▌        | 160/1000 [02:08<11:16,  1.24it/s]
 16%|█▌        | 161/1000 [02:08<11:09,  1.25it/s]
 16%|█▌        | 162/1000 [02:09<11:04,  1.26it/s]
 16%|█▋        | 163/1000 [02:10<11:07,  1.25it/s]
 16%|█▋        | 164/1000 [02:11<11:00,  1.27it/s]
 16%|█▋        | 165/1000 [02:11<10:54,  1.28it/s]
 17%|█▋        | 166/1000 [02:13<13:07,  1.06it/s]
 17%|█▋        | 167/1000 [02:14<12:25,  1.12it/s]
 17%|█▋        | 168/1000 [02:15<13:05,  1.06it/s]
 17%|█▋        | 169/1000 [02:15<12:31,  1.11it/s]
 17%|█▋        | 170/1000 [02:16<11:57,  1.16it/s]
 17%|█▋        | 172/1000 [02:17<08:54,  1.55it/s]
 17%|█▋        | 173/1000 [02:18<09:23,  1.47it/s]
 17%|█▋        | 174/1000 [02:19<09:46,  1.41it/s]
 18%|█▊        | 175/1000 [02:19<09:52,  1.39it/s]
 18%|█▊        | 176/1000 [02:20<10:01,  1.37it/s]
 18%|█▊        | 177/1000 [02:21<10:14,  1.34it/s]
 18%|█▊        | 178/1000 [02:22<10:38,  1.29it/s]
 18%|█▊        | 179/1000 [02:22<10:36,  1.29it/s]
 18%|█▊        | 180/1000 [02:23<10:34,  1.29it/s]
 18%|█▊        | 181/1000 [02:24<10:30,  1.30it/s]
 18%|█▊        | 182/1000 [02:25<11:06,  1.23it/s]
 18%|█▊        | 183/1000 [02:26<10:49,  1.26it/s]
 18%|█▊        | 184/1000 [02:26<10:37,  1.28it/s]
 18%|█▊        | 185/1000 [02:27<10:46,  1.26it/s]
 19%|█▊        | 186/1000 [02:28<10:47,  1.26it/s]
 19%|█▉        | 188/1000 [02:29<08:21,  1.62it/s]
 19%|█▉        | 189/1000 [02:30<08:51,  1.53it/s]
 19%|█▉        | 190/1000 [02:30<09:23,  1.44it/s]
 19%|█▉        | 191/1000 [02:31<10:27,  1.29it/s]
 19%|█▉        | 192/1000 [02:32<10:36,  1.27it/s]
 19%|█▉        | 194/1000 [02:33<08:30,  1.58it/s]
 20%|█▉        | 195/1000 [02:34<09:00,  1.49it/s]
 20%|█▉        | 196/1000 [02:35<09:24,  1.43it/s]
 20%|█▉        | 197/1000 [02:35<09:35,  1.39it/s]
 20%|█▉        | 198/1000 [02:36<09:53,  1.35it/s]
 20%|█▉        | 199/1000 [02:37<10:15,  1.30it/s]
 20%|██        | 200/1000 [02:38<12:33,  1.06it/s]
 20%|██        | 201/1000 [02:39<11:52,  1.12it/s]
 20%|██        | 202/1000 [02:40<11:25,  1.16it/s]
 20%|██        | 203/1000 [02:41<11:10,  1.19it/s]
 20%|██        | 204/1000 [02:42<10:52,  1.22it/s]
 20%|██        | 205/1000 [02:42<10:52,  1.22it/s]
 21%|██        | 206/1000 [02:43<10:41,  1.24it/s]
 21%|██        | 207/1000 [02:44<10:48,  1.22it/s]
 21%|██        | 208/1000 [02:45<10:38,  1.24it/s]
 21%|██        | 209/1000 [02:46<10:22,  1.27it/s]
 21%|██        | 210/1000 [02:47<11:14,  1.17it/s]
 21%|██        | 211/1000 [02:47<11:29,  1.14it/s]
 21%|██        | 212/1000 [02:48<11:06,  1.18it/s]
 21%|██▏       | 213/1000 [02:49<10:47,  1.22it/s]
 21%|██▏       | 214/1000 [02:50<10:31,  1.24it/s]
 22%|██▏       | 215/1000 [02:51<10:20,  1.26it/s]
 22%|██▏       | 216/1000 [02:51<10:12,  1.28it/s]
 22%|██▏       | 217/1000 [02:52<10:02,  1.30it/s]
 22%|██▏       | 218/1000 [02:53<09:59,  1.30it/s]
 22%|██▏       | 219/1000 [02:54<09:52,  1.32it/s]
 22%|██▏       | 220/1000 [02:54<09:49,  1.32it/s]
 22%|██▏       | 221/1000 [02:55<11:09,  1.16it/s]
 22%|██▏       | 222/1000 [02:56<10:59,  1.18it/s]
 22%|██▏       | 223/1000 [02:57<10:45,  1.20it/s]
 22%|██▏       | 224/1000 [02:58<10:30,  1.23it/s]
 22%|██▎       | 225/1000 [02:59<10:22,  1.25it/s]
 23%|██▎       | 226/1000 [02:59<10:18,  1.25it/s]
 23%|██▎       | 227/1000 [03:00<10:24,  1.24it/s]
 23%|██▎       | 228/1000 [03:01<12:22,  1.04it/s]
 23%|██▎       | 229/1000 [03:02<11:41,  1.10it/s]
 23%|██▎       | 230/1000 [03:03<11:01,  1.16it/s]
 23%|██▎       | 231/1000 [03:04<10:51,  1.18it/s]
 23%|██▎       | 232/1000 [03:05<10:35,  1.21it/s]
 23%|██▎       | 233/1000 [03:05<10:25,  1.23it/s]
 23%|██▎       | 234/1000 [03:06<10:37,  1.20it/s]
 24%|██▎       | 235/1000 [03:07<10:26,  1.22it/s]
 24%|██▎       | 236/1000 [03:08<10:26,  1.22it/s]
 24%|██▎       | 237/1000 [03:09<10:09,  1.25it/s]
 24%|██▍       | 238/1000 [03:10<11:08,  1.14it/s]
 24%|██▍       | 239/1000 [03:10<10:49,  1.17it/s]
 24%|██▍       | 240/1000 [03:11<10:36,  1.19it/s]
 24%|██▍       | 241/1000 [03:12<10:29,  1.21it/s]
 24%|██▍       | 242/1000 [03:13<10:12,  1.24it/s]
 24%|██▍       | 243/1000 [03:14<10:07,  1.25it/s]
 24%|██▍       | 244/1000 [03:14<09:57,  1.27it/s]
 24%|██▍       | 245/1000 [03:15<10:01,  1.26it/s]
 25%|██▍       | 246/1000 [03:16<09:56,  1.26it/s]
 25%|██▍       | 247/1000 [03:17<10:11,  1.23it/s]
 25%|██▍       | 248/1000 [03:18<10:07,  1.24it/s]
 25%|██▍       | 249/1000 [03:19<10:18,  1.21it/s]
 25%|██▌       | 251/1000 [03:19<07:48,  1.60it/s]
 25%|██▌       | 252/1000 [03:20<08:13,  1.52it/s]
 25%|██▌       | 253/1000 [03:21<08:30,  1.46it/s]
 25%|██▌       | 254/1000 [03:22<08:49,  1.41it/s]
 26%|██▌       | 255/1000 [03:22<09:05,  1.37it/s]
 26%|██▌       | 256/1000 [03:23<09:14,  1.34it/s]
 26%|██▌       | 257/1000 [03:24<09:25,  1.31it/s]
 26%|██▌       | 258/1000 [03:25<09:26,  1.31it/s]
 26%|██▌       | 259/1000 [03:26<10:43,  1.15it/s]
 26%|██▌       | 261/1000 [03:27<08:08,  1.51it/s]
 26%|██▌       | 262/1000 [03:28<10:07,  1.21it/s]
 26%|██▋       | 263/1000 [03:30<12:41,  1.03s/it]
 26%|██▋       | 264/1000 [03:30<12:04,  1.02it/s]
 26%|██▋       | 265/1000 [03:31<11:27,  1.07it/s]
 27%|██▋       | 266/1000 [03:32<10:54,  1.12it/s]
 27%|██▋       | 267/1000 [03:33<11:24,  1.07it/s]
 27%|██▋       | 268/1000 [03:34<10:44,  1.14it/s]
 27%|██▋       | 269/1000 [03:35<11:15,  1.08it/s]
 27%|██▋       | 270/1000 [03:36<10:32,  1.15it/s]
 27%|██▋       | 271/1000 [03:36<10:15,  1.18it/s]
 27%|██▋       | 272/1000 [03:37<10:02,  1.21it/s]
 27%|██▋       | 273/1000 [03:38<09:51,  1.23it/s]
 27%|██▋       | 274/1000 [03:39<09:45,  1.24it/s]
 28%|██▊       | 275/1000 [03:40<10:57,  1.10it/s]
 28%|██▊       | 276/1000 [03:41<10:37,  1.14it/s]
 28%|██▊       | 277/1000 [03:42<10:10,  1.18it/s]
 28%|██▊       | 278/1000 [03:43<12:09,  1.01s/it]
 28%|██▊       | 279/1000 [03:44<11:14,  1.07it/s]
 28%|██▊       | 280/1000 [03:44<10:35,  1.13it/s]
 28%|██▊       | 281/1000 [03:45<10:14,  1.17it/s]
 28%|██▊       | 282/1000 [03:46<10:06,  1.18it/s]
 28%|██▊       | 283/1000 [03:47<10:04,  1.19it/s]
 28%|██▊       | 284/1000 [03:48<09:56,  1.20it/s]
 28%|██▊       | 285/1000 [03:49<10:46,  1.11it/s]
 29%|██▊       | 286/1000 [03:50<10:23,  1.15it/s]
 29%|██▊       | 287/1000 [03:50<10:06,  1.17it/s]
 29%|██▉       | 288/1000 [03:51<09:52,  1.20it/s]
 29%|██▉       | 289/1000 [03:52<09:32,  1.24it/s]
 29%|██▉       | 290/1000 [03:53<09:26,  1.25it/s]
 29%|██▉       | 291/1000 [03:53<09:19,  1.27it/s]
 29%|██▉       | 292/1000 [03:54<09:21,  1.26it/s]
 29%|██▉       | 293/1000 [03:55<09:43,  1.21it/s]
 29%|██▉       | 294/1000 [03:56<09:43,  1.21it/s]
 30%|██▉       | 295/1000 [03:57<09:30,  1.24it/s]
 30%|██▉       | 296/1000 [03:58<09:27,  1.24it/s]
 30%|██▉       | 297/1000 [03:59<10:14,  1.14it/s]
 30%|██▉       | 299/1000 [03:59<07:47,  1.50it/s]
 30%|███       | 300/1000 [04:00<08:04,  1.44it/s]
 30%|███       | 301/1000 [04:01<08:30,  1.37it/s]
 30%|███       | 302/1000 [04:02<08:41,  1.34it/s]
 30%|███       | 303/1000 [04:03<08:58,  1.29it/s]
 30%|███       | 304/1000 [04:03<08:57,  1.30it/s]
 30%|███       | 305/1000 [04:04<08:52,  1.31it/s]
 31%|███       | 306/1000 [04:05<08:52,  1.30it/s]
 31%|███       | 307/1000 [04:06<08:43,  1.32it/s]
 31%|███       | 308/1000 [04:06<08:48,  1.31it/s]
 31%|███       | 309/1000 [04:07<08:42,  1.32it/s]
 31%|███       | 310/1000 [04:08<08:44,  1.32it/s]
 31%|███       | 312/1000 [04:09<06:49,  1.68it/s]
 31%|███▏      | 313/1000 [04:10<07:28,  1.53it/s]
 31%|███▏      | 314/1000 [04:10<08:06,  1.41it/s]
 32%|███▏      | 315/1000 [04:12<10:14,  1.11it/s]
 32%|███▏      | 316/1000 [04:13<09:55,  1.15it/s]
 32%|███▏      | 317/1000 [04:13<09:28,  1.20it/s]
 32%|███▏      | 318/1000 [04:14<09:17,  1.22it/s]
 32%|███▏      | 319/1000 [04:15<09:05,  1.25it/s]
 32%|███▏      | 320/1000 [04:16<09:14,  1.23it/s]
 32%|███▏      | 321/1000 [04:17<09:14,  1.22it/s]
 32%|███▏      | 322/1000 [04:17<09:10,  1.23it/s]
 32%|███▏      | 323/1000 [04:18<09:03,  1.25it/s]
 32%|███▏      | 324/1000 [04:19<09:01,  1.25it/s]
 32%|███▎      | 325/1000 [04:20<08:54,  1.26it/s]
 33%|███▎      | 326/1000 [04:21<09:09,  1.23it/s]
 33%|███▎      | 327/1000 [04:21<09:01,  1.24it/s]
 33%|███▎      | 328/1000 [04:22<08:47,  1.27it/s]
 33%|███▎      | 329/1000 [04:23<08:39,  1.29it/s]
 33%|███▎      | 330/1000 [04:24<08:48,  1.27it/s]
 33%|███▎      | 331/1000 [04:24<08:43,  1.28it/s]
 33%|███▎      | 332/1000 [04:25<08:38,  1.29it/s]
 33%|███▎      | 333/1000 [04:26<08:36,  1.29it/s]
 33%|███▎      | 334/1000 [04:27<08:38,  1.28it/s]
 34%|███▎      | 335/1000 [04:28<09:38,  1.15it/s]
 34%|███▎      | 336/1000 [04:29<09:19,  1.19it/s]
 34%|███▎      | 337/1000 [04:29<09:12,  1.20it/s]
 34%|███▍      | 338/1000 [04:30<09:04,  1.22it/s]
 34%|███▍      | 339/1000 [04:31<08:59,  1.23it/s]
 34%|███▍      | 340/1000 [04:32<08:55,  1.23it/s]
 34%|███▍      | 341/1000 [04:33<08:46,  1.25it/s]
 34%|███▍      | 342/1000 [04:33<08:41,  1.26it/s]
 34%|███▍      | 343/1000 [04:34<08:46,  1.25it/s]
 34%|███▍      | 344/1000 [04:35<08:43,  1.25it/s]
 34%|███▍      | 345/1000 [04:36<08:56,  1.22it/s]
 35%|███▍      | 346/1000 [04:37<08:50,  1.23it/s]
 35%|███▍      | 347/1000 [04:38<09:04,  1.20it/s]
 35%|███▍      | 348/1000 [04:38<08:49,  1.23it/s]
 35%|███▍      | 349/1000 [04:39<08:36,  1.26it/s]
 35%|███▌      | 350/1000 [04:40<08:35,  1.26it/s]
 35%|███▌      | 351/1000 [04:41<08:33,  1.26it/s]
 35%|███▌      | 352/1000 [04:42<08:40,  1.25it/s]
 35%|███▌      | 353/1000 [04:42<08:33,  1.26it/s]
 35%|███▌      | 354/1000 [04:43<08:33,  1.26it/s]
 36%|███▌      | 355/1000 [04:44<08:28,  1.27it/s]
 36%|███▌      | 356/1000 [04:45<08:23,  1.28it/s]
 36%|███▌      | 357/1000 [04:45<08:24,  1.27it/s]
 36%|███▌      | 358/1000 [04:46<08:24,  1.27it/s]
 36%|███▌      | 359/1000 [04:47<08:22,  1.27it/s]
 36%|███▌      | 360/1000 [04:48<08:36,  1.24it/s]
 36%|███▌      | 361/1000 [04:49<08:34,  1.24it/s]
 36%|███▌      | 362/1000 [04:49<08:24,  1.26it/s]
 36%|███▋      | 363/1000 [04:50<08:27,  1.25it/s]
 36%|███▋      | 364/1000 [04:52<10:06,  1.05it/s]
 36%|███▋      | 365/1000 [04:53<10:16,  1.03it/s]
 37%|███▋      | 366/1000 [04:53<09:48,  1.08it/s]
 37%|███▋      | 367/1000 [04:54<09:29,  1.11it/s]
 37%|███▋      | 368/1000 [04:55<08:57,  1.17it/s]
 37%|███▋      | 369/1000 [04:56<08:43,  1.20it/s]
 37%|███▋      | 370/1000 [04:57<11:32,  1.10s/it]
 37%|███▋      | 371/1000 [04:58<10:35,  1.01s/it]
 37%|███▋      | 372/1000 [04:59<09:50,  1.06it/s]
 37%|███▋      | 373/1000 [05:00<09:15,  1.13it/s]
 37%|███▋      | 374/1000 [05:01<09:02,  1.15it/s]
 38%|███▊      | 375/1000 [05:01<08:41,  1.20it/s]
 38%|███▊      | 376/1000 [05:02<08:32,  1.22it/s]
 38%|███▊      | 377/1000 [05:03<08:31,  1.22it/s]
 38%|███▊      | 379/1000 [05:04<06:32,  1.58it/s]
 38%|███▊      | 380/1000 [05:05<06:48,  1.52it/s]
 38%|███▊      | 381/1000 [05:05<07:11,  1.43it/s]
 38%|███▊      | 382/1000 [05:06<07:25,  1.39it/s]
 38%|███▊      | 383/1000 [05:07<07:31,  1.37it/s]
 38%|███▊      | 384/1000 [05:08<07:35,  1.35it/s]
 38%|███▊      | 385/1000 [05:09<08:35,  1.19it/s]
 39%|███▊      | 386/1000 [05:10<08:38,  1.18it/s]
 39%|███▊      | 387/1000 [05:11<09:29,  1.08it/s]
 39%|███▉      | 388/1000 [05:12<09:46,  1.04it/s]
 39%|███▉      | 389/1000 [05:13<09:13,  1.10it/s]
 39%|███▉      | 390/1000 [05:13<08:49,  1.15it/s]
 39%|███▉      | 391/1000 [05:14<08:39,  1.17it/s]
 39%|███▉      | 393/1000 [05:15<06:41,  1.51it/s]
 39%|███▉      | 394/1000 [05:16<06:56,  1.45it/s]
 40%|███▉      | 395/1000 [05:17<07:10,  1.40it/s]
 40%|███▉      | 396/1000 [05:18<08:02,  1.25it/s]
 40%|███▉      | 397/1000 [05:18<07:58,  1.26it/s]
 40%|███▉      | 399/1000 [05:19<06:47,  1.47it/s]
 40%|████      | 400/1000 [05:20<07:04,  1.41it/s]
 40%|████      | 401/1000 [05:21<07:16,  1.37it/s]
 40%|████      | 402/1000 [05:22<08:02,  1.24it/s]
 40%|████      | 403/1000 [05:23<07:57,  1.25it/s]
 40%|████      | 404/1000 [05:24<07:54,  1.26it/s]
 40%|████      | 405/1000 [05:25<09:51,  1.01it/s]
 41%|████      | 406/1000 [05:26<10:12,  1.03s/it]
 41%|████      | 407/1000 [05:27<09:23,  1.05it/s]
 41%|████      | 408/1000 [05:28<08:52,  1.11it/s]
 41%|████      | 409/1000 [05:28<08:23,  1.17it/s]
 41%|████      | 410/1000 [05:29<08:13,  1.19it/s]
 41%|████      | 411/1000 [05:30<08:52,  1.11it/s]
 41%|████      | 412/1000 [05:31<08:43,  1.12it/s]
 41%|████▏     | 413/1000 [05:32<08:23,  1.17it/s]
 41%|████▏     | 414/1000 [05:33<08:12,  1.19it/s]
 42%|████▏     | 415/1000 [05:34<07:59,  1.22it/s]
 42%|████▏     | 417/1000 [05:35<07:20,  1.32it/s]
 42%|████▏     | 418/1000 [05:36<07:34,  1.28it/s]
 42%|████▏     | 419/1000 [05:37<07:39,  1.26it/s]
 42%|████▏     | 420/1000 [05:37<07:30,  1.29it/s]
 42%|████▏     | 421/1000 [05:38<08:11,  1.18it/s]
 42%|████▏     | 423/1000 [05:39<06:09,  1.56it/s]
 42%|████▏     | 424/1000 [05:40<06:28,  1.48it/s]
 42%|████▎     | 425/1000 [05:41<06:45,  1.42it/s]
 43%|████▎     | 426/1000 [05:41<06:56,  1.38it/s]
 43%|████▎     | 427/1000 [05:42<07:06,  1.34it/s]
 43%|████▎     | 428/1000 [05:43<07:33,  1.26it/s]
 43%|████▎     | 429/1000 [05:44<07:27,  1.28it/s]
 43%|████▎     | 431/1000 [05:45<05:42,  1.66it/s]
 43%|████▎     | 432/1000 [05:45<06:04,  1.56it/s]
