Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:options-nop::1]-|,1,[-1000]
-10.0,"[TCP:options-uto:234]-duplicate(,tamper{TCP:seq:replace:1588495494})-|",1,[-10]
-10.0,"[TCP:flags:FRPEC:4]-tamper{TCP:options-wscale:corrupt}(fragment{tcp:-1:False}(,fragment{tcp:-1:False}),)-|",1,[-10]
-10.0,"[TCP:options-wscale:247]-fragment{tcp:-1:True}(fragment{tcp:36:False},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:23]-tamper{TCP:load:replace:}(fragment{tcp:-1:False}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:sport:51252]-tamper{TCP:options-eol:corrupt}(fragment{ip:23:True:11},)-|",1,[-10]
-10.0,[TCP:dataofs:4]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-timestamp:3390127799]-duplicate-|,1,[-10]
-10.0,"[TCP:load:]-duplicate(duplicate,duplicate(tamper{TCP:options-sackok:replace:},))-|",1,[-10]
-10.0,[TCP:options-uto:190:2]-tamper{TCP:options-sackok:corrupt}-|,1,[-10]
-10.0,"[TCP:options-nop::0]-tamper{TCP:sport:replace:31337}(tamper{TCP:options-timestamp:corrupt},)-|",1,[-10]
-10.0,"[TCP:sport:45729]-fragment{tcp:-1:True}(,fragment{tcp:-1:False}(tamper{TCP:sport:replace:57083},))-|",1,[-10]
-10.0,"[TCP:flags:PAUEN]-tamper{TCP:options-mss:replace:24254}(tamper{TCP:options-eol:replace:},)-|",1,[-10]
-10.0,"[TCP:options-wscale:138]-duplicate(,tamper{TCP:flags:corrupt})-|",1,[-10]
-10.0,[TCP:dport:10094]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-wscale:23]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-nop:]-duplicate(drop,)-|[TCP:options-uto:144:2]-tamper{TCP:dport:replace:13716}-|",1,[-10]
-10.0,"[TCP:ack:2440095188]-tamper{TCP:load:replace:mf4k2s8qfe}(tamper{TCP:ack:replace:3148254181},)-|",1,[-10]
-10.0,"[TCP:options-altchksum:179]-duplicate(fragment{tcp:-1:False}(,tamper{TCP:options-altchksum:corrupt}),)-|",1,[-10]
-10.0,"[TCP:ack:1642577877]-fragment{tcp:20:True:44}(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:window:10]-duplicate(,tamper{TCP:options-eol:replace:})-|",1,[-10]
-10.0,"[TCP:dataofs:15]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:chksum:16878]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,"[TCP:load:]-tamper{TCP:options-sackok:replace:}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,[TCP:urgptr:64570]-duplicate-|,1,[-10]
-10.0,"[TCP:seq:643147973]-fragment{tcp:-1:False}(tamper{TCP:window:corrupt},)-|",1,[-10]
-10.0,[TCP:options-sack::0]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-10]
-10.0,[TCP:flags:SRPAUECN]-duplicate-|,1,[-10]
-10.0,[TCP:options-md5header:b06f87d7c835d748924d43f5f95521c0]-tamper{TCP:options-uto:corrupt}-|,1,[-10]
-10.0,"[TCP:ack:3286580195]-tamper{TCP:seq:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:seq:1188878038]-tamper{TCP:options-uto:replace:64}(tamper{TCP:dataofs:corrupt},)-|",1,[-10]
-10.0,[TCP:dport:22163]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:options-altchksum:177]-tamper{TCP:chksum:replace:32971}(tamper{TCP:load:replace:__HTTP_REQUEST__},)-|",1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:reserved:corrupt}(drop,)-|",1,[-10]
-10.0,[TCP:dataofs:7]-tamper{TCP:options-altchksum:replace:63}-|,1,[-10]
-10.0,"[TCP:options-wscale:69:1]-duplicate(fragment{tcp:-1:False},fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:sport:37459]-fragment{tcp:-1:False}(fragment{tcp:-1:False},duplicate)-|",1,[-10]
-10.0,[TCP:options-md5header:9ab7f82550f21554779862cb8f1f94fa]-tamper{TCP:options-altchksum:replace:93}-|,1,[-10]
-10.0,"[TCP:sport:51285]-tamper{TCP:urgptr:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-altchksumopt::0]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:sport:36127]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:dataofs:11]-tamper{TCP:options-sackok:replace:}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-uto:193]-tamper{TCP:seq:replace:641914132}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:seq:2544216174]-duplicate(,tamper{TCP:options-altchksum:corrupt})-|",1,[-10]
-10.0,[TCP:chksum:23849]-tamper{TCP:options-timestamp:corrupt}-|,1,[-10]
-10.0,[TCP:chksum:12833:4]-duplicate-|,1,[-10]
-10.0,[TCP:options-altchksum:102]-duplicate-|,1,[-10]
-10.0,[TCP:seq:4072677902:4]-tamper{TCP:load:replace:__DNS_REQUEST__}-|,1,[-10]
-10.0,[TCP:chksum:40568:2]-drop-|,1,[-10]
-10.0,[TCP:options-mss:50913:3]-duplicate-|,1,[-10]
-10.0,[TCP:seq:1188455932]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:2444126544]-fragment{tcp:-1:False}(,tamper{TCP:chksum:replace:12528})-|",1,[-10]
-10.0,"[TCP:flags:A:0]-duplicate(,fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:options-uto:212:3]-duplicate(tamper{TCP:options-md5header:corrupt},)-|",1,[-10]
-10.0,"[TCP:urgptr:28293]-tamper{TCP:options-nop:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-wscale:246]-tamper{TCP:reserved:corrupt}(tamper{TCP:chksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:dport:16566:1]-duplicate(,tamper{TCP:seq:replace:4022103849})-|",1,[-10]
-10.0,"[TCP:dport:20048]-fragment{tcp:-1:False}(fragment{tcp:-1:False},tamper{TCP:options-wscale:replace:98})-|",1,[-10]
-10.0,"[TCP:chksum:6111]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:load:corrupt},)-|",1,[-10]
-10.0,"[TCP:window:130]-fragment{tcp:50:True:25}(tamper{TCP:sport:corrupt},)-|",1,[-10]
-10.0,[TCP:reserved:6]-tamper{TCP:options-sackok:corrupt}-|,1,[-10]
-10.0,"[TCP:urgptr:6066]-fragment{tcp:-1:True}(tamper{TCP:reserved:corrupt},)-|",1,[-10]
-10.0,"[TCP:dataofs:12]-tamper{TCP:options-uto:corrupt}(tamper{TCP:load:corrupt}(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-altchksum:169]-tamper{TCP:options-sackok:replace:}-|,1,[-10]
-10.0,"[TCP:options-uto:34]-tamper{TCP:sport:corrupt}(tamper{TCP:urgptr:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:flags:FSRPAE:3]-tamper{TCP:chksum:replace:59262}(duplicate(tamper{TCP:window:corrupt},),)-|",1,[-10]
-10.0,[TCP:sport:21867]-drop-|,1,[-10]
-10.0,[TCP:dport:14646]-duplicate-|,1,[-10]
-10.0,"[TCP:load:76fw523wg2]-tamper{TCP:urgptr:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-uto:251]-tamper{TCP:options-md5header:replace:26308f46badca912a19fdedcba354e75}-|,1,[-10]
-10.0,"[TCP:options-timestamp:2851217611]-tamper{TCP:options-sack:replace:}(tamper{TCP:options-md5header:corrupt},)-|",1,[-10]
-10.0,"[TCP:window:100]-tamper{TCP:dataofs:corrupt}(tamper{TCP:options-md5header:corrupt}(drop,),)-|",1,[-10]
-10.0,"[TCP:options-wscale:40]-duplicate(,tamper{TCP:options-timestamp:corrupt})-|",1,[-10]
-10.0,"[TCP:options-altchksumopt:]-tamper{TCP:flags:corrupt}(fragment{tcp:-1:False},)-|[TCP:options-timestamp:540192602:2]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,[TCP:options-wscale:97]-duplicate-|,1,[-10]
-10.0,"[TCP:window:100]-tamper{TCP:options-timestamp:replace:263053775}(fragment{ip:-1:True},)-|",1,[-10]
-10.0,[TCP:options-altchksum:234:0]-tamper{TCP:chksum:replace:45513}-|,1,[-10]
-10.0,[TCP:options-mss:35180]-tamper{TCP:dataofs:corrupt}-|,1,[-10]
-10.0,"[TCP:dport:56827]-tamper{TCP:dport:replace:54778}(duplicate,)-|",1,[-10]
-10.0,[TCP:sport:3135]-tamper{TCP:urgptr:corrupt}-|,1,[-10]
-10.0,[TCP:sport:45253]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:sport:30254]-drop-|,1,[-10]
-10.0,"[TCP:options-sack:]-tamper{TCP:dport:corrupt}(duplicate,)-|[TCP:window:20]-tamper{TCP:urgptr:replace:42122}-|",1,[-10]
-10.0,"[TCP:options-wscale:61:4]-duplicate(tamper{TCP:options-eol:corrupt}(tamper{TCP:window:corrupt},),)-|",1,[-10]
-10.0,"[TCP:load:__HTTP_REQUEST__]-tamper{TCP:dport:corrupt}(tamper{TCP:window:corrupt},)-|",1,[-10]
-10.0,"[TCP:chksum:9939:3]-fragment{tcp:-1:False}(tamper{TCP:options-wscale:corrupt}(duplicate,),)-|",1,[-10]
-10.0,[TCP:dport:57439]-fragment{tcp:-1:True:5}-|,1,[-10]
-10.0,"[TCP:seq:3057145768]-tamper{TCP:dport:replace:17872}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-wscale:217]-tamper{TCP:load:replace:kjlgj7v07q}(drop,)-|",1,[-10]
-10.0,"[TCP:options-md5header:259d72307c3ec86708de5ec9d817c3f3]-fragment{tcp:-1:True}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,[TCP:options-uto:183:4]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:reserved:2]-tamper{TCP:dataofs:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:flags:FREN]-drop-|,1,[-10]
-10.0,"[TCP:urgptr:32908:0]-duplicate(,fragment{tcp:-1:False}(tamper{TCP:window:corrupt},))-|",1,[-10]
-10.0,[TCP:ack:1585006953:2]-drop-|,1,[-10]
-10.0,[TCP:options-wscale:93:3]-drop-|,1,[-10]
-10.0,"[TCP:options-timestamp:2584070464]-tamper{TCP:options-sack:corrupt}(tamper{TCP:sport:corrupt}(tamper{TCP:options-timestamp:replace:1215729467},),)-|",1,[-10]
-10.0,"[TCP:load:]-duplicate(,tamper{TCP:urgptr:replace:51212})-|",1,[-10]
-10.0,[TCP:reserved:4]-duplicate-|,1,[-10]
-10.0,[TCP:options-uto:137]-tamper{TCP:flags:replace:R}-|,1,[-10]
-10.0,[TCP:options-mss:48373]-duplicate-|,1,[-10]
-10.0,"[TCP:chksum:31334]-duplicate(,fragment{tcp:30:False})-|",1,[-10]
-10.0,[TCP:options-md5header:a711be3962d2ec72fdfc1af87e0b874b]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:dataofs:15:2]-duplicate(tamper{TCP:options-altchksum:corrupt},)-|",1,[-10]
-10.0,"[TCP:dport:11802]-fragment{tcp:-1:False}(tamper{TCP:dport:corrupt},fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:options-wscale:110]-tamper{TCP:options-mss:corrupt}(drop,)-|",1,[-10]
-10.0,[TCP:options-uto:127:2]-tamper{TCP:reserved:replace:7}-|,1,[-10]
-10.0,"[TCP:load:ywouo5nz8y]-duplicate(fragment{tcp:-1:False}(tamper{TCP:reserved:replace:3},),)-|",1,[-10]
-10.0,"[TCP:dport:26106]-tamper{TCP:ack:corrupt}(tamper{TCP:sport:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-wscale:33]-tamper{TCP:dport:corrupt}(tamper{TCP:options-altchksum:replace:175},)-|",1,[-10]
-10.0,[TCP:options-uto:170]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:dport:48943]-tamper{TCP:options-mss:replace:51238}(fragment{tcp:-1:False},)-|[TCP:options-sack:]-duplicate-|",1,[-10]
-10.0,"[TCP:chksum:12948]-tamper{TCP:options-wscale:replace:244}(tamper{TCP:options-uto:replace:177},)-|",1,[-10]
-10.0,[TCP:options-mss:17926:3]-tamper{TCP:urgptr:corrupt}-|,1,[-10]
-10.0,"[TCP:seq:1344200022:3]-duplicate(tamper{TCP:options-sackok:replace:},)-|",1,[-10]
-10.0,"[TCP:options-wscale:188:1]-fragment{tcp:-1:False}(duplicate(drop,),)-|",1,[-10]
-10.0,[TCP:load:__HTTP_REQUEST__]-tamper{TCP:seq:replace:1131938099}-|,1,[-10]
-10.0,"[TCP:options-uto:67]-tamper{TCP:window:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:seq:1476722111]-tamper{TCP:options-sack:replace:}(fragment{ip:-1:False:5},)-|",1,[-10]
-10.0,[TCP:sport:10102]-tamper{TCP:options-sack:replace:}-|,1,[-10]
-10.0,"[TCP:seq:2077694509:4]-tamper{TCP:options-md5header:corrupt}(tamper{TCP:seq:corrupt},)-|",1,[-10]
-10.0,"[TCP:chksum:31528]-duplicate(,fragment{tcp:-1:True})-|",1,[-10]
-10.0,[TCP:options-uto:42:3]-duplicate-|,1,[-10]
-10.0,[TCP:options-altchksum:144:1]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-wscale:93]-tamper{TCP:options-uto:corrupt}-|,1,[-10]
-10.0,"[TCP:sport:13578]-duplicate(,tamper{TCP:chksum:replace:22357})-|",1,[-10]
-10.0,"[TCP:dataofs:2]-fragment{tcp:-1:False}(,tamper{TCP:options-timestamp:corrupt})-|",1,[-10]
-10.0,[TCP:sport:28196]-drop-|,1,[-10]
-10.0,"[TCP:dataofs:7]-tamper{TCP:options-nop:replace:}(tamper{TCP:options-uto:replace:148},)-|",1,[-10]
-10.0,"[TCP:options-uto:213]-fragment{tcp:-1:False}(tamper{TCP:options-sackok:replace:},)-|",1,[-10]
-10.0,[TCP:urgptr:30504]-tamper{TCP:dport:corrupt}-|,1,[-10]
-10.0,"[TCP:options-sackok:]-duplicate(duplicate,)-|[TCP:flags:FREN:3]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,"[TCP:ack:523553531]-tamper{TCP:ack:replace:35143265}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dport:19265]-tamper{TCP:options-nop:replace:}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-mss:2617:3]-duplicate(tamper{TCP:load:corrupt},drop)-|",1,[-10]
-10.0,[TCP:options-altchksum:215]-tamper{TCP:dport:replace:48626}-|,1,[-10]
-10.0,"[TCP:load:udcpb2kwqp]-fragment{tcp:-1:False}(tamper{TCP:options-timestamp:corrupt},)-|",1,[-10]
-10.0,"[TCP:ack:3337100877:1]-fragment{ip:-1:True}(,tamper{TCP:dport:replace:45760})-|",1,[-10]
-10.0,[TCP:options-md5header:7efa8987a48f465e9ea0204e07c376ae:3]-drop-|,1,[-10]
-10.0,[TCP:options-altchksum:222]-tamper{TCP:options-altchksum:replace:140}-|,1,[-10]
-10.0,[TCP:options-altchksum:84]-drop-|,1,[-10]
-10.0,"[TCP:options-uto:164:3]-fragment{tcp:-1:True}(tamper{TCP:options-sackok:corrupt},tamper{TCP:reserved:replace:3})-|",1,[-10]
-10.0,[TCP:urgptr:24206]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:sport:26692]-tamper{TCP:options-timestamp:replace:1697502229}-|,1,[-10]
-10.0,"[TCP:options-wscale:147:3]-fragment{tcp:-1:False}(tamper{TCP:dport:corrupt},tamper{TCP:options-md5header:replace:f56a3cfbc1d38b78bec8d4f9cfb6b42f})-|",1,[-10]
-10.0,[TCP:urgptr:62048:3]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:chksum:11033]-tamper{TCP:ack:corrupt}(tamper{TCP:urgptr:replace:56099},)-|",1,[-10]
-10.0,[TCP:seq:483686545]-drop-|,1,[-10]
-10.0,[TCP:options-timestamp:2358351645]-tamper{TCP:chksum:corrupt}-|,1,[-10]
-10.0,[TCP:dataofs:11]-tamper{TCP:options-wscale:corrupt}-|,1,[-10]
-10.0,"[TCP:options-sackok::0]-tamper{TCP:dport:replace:36384}(tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:options-uto:replace:197},),)-|",1,[-10]
-10.0,"[TCP:options-mss:38677]-tamper{TCP:window:replace:170}(fragment{tcp:-1:True},)-|[TCP:options-sack::3]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,"[TCP:dataofs:6]-tamper{TCP:options-nop:corrupt}(tamper{TCP:ack:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:4226616169]-duplicate(,tamper{TCP:options-timestamp:corrupt})-|",1,[-10]
-10.0,[TCP:ack:850393242]-duplicate-|,1,[-10]
-10.0,"[TCP:chksum:11974]-duplicate(,drop)-|",1,[-10]
-10.0,[TCP:sport:57154:1]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:reserved:0]-tamper{TCP:options-wscale:replace:24}(duplicate,)-|[TCP:ack:1663213004:4]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,[TCP:urgptr:60689]-tamper{TCP:options-md5header:corrupt}-|,1,[-10]
-10.0,[TCP:options-timestamp:696799632:2]-tamper{TCP:options-altchksum:corrupt}-|,1,[-10]
-10.0,[TCP:seq:1792284549]-tamper{TCP:reserved:replace:3}-|,1,[-10]
-10.0,[TCP:options-md5header:a6c06d0b1dca5da96f592982b520b827]-duplicate-|,1,[-10]
-10.0,"[TCP:options-sackok::0]-tamper{TCP:sport:corrupt}(duplicate,)-|[TCP:flags:SRP]-tamper{TCP:options-timestamp:corrupt}-|",1,[-10]
-10.0,[TCP:options-timestamp:2726820506:3]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,"[TCP:options-altchksumopt:]-fragment{tcp:-1:False}(tamper{TCP:dport:corrupt},)-|[TCP:urgptr:43510]-duplicate-|",1,[-10]
-10.0,[TCP:options-uto:123:3]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-10]
-10.0,[TCP:dport:58198]-tamper{TCP:options-md5header:replace:cd4bf29dd5170de081ca80717f6cb3d9}-|,1,[-10]
-10.0,[TCP:options-sack:]-duplicate-|[TCP:seq:1502270145]-drop-|,1,[-10]
-10.0,[TCP:options-altchksum:126]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-wscale:40]-duplicate(tamper{TCP:options-timestamp:corrupt},)-|",1,[-10]
-10.0,[TCP:options-wscale:105]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:chksum:14704]-tamper{TCP:reserved:corrupt}-|,1,[-10]
-10.0,[TCP:load:bxxi91wyy2]-drop-|,1,[-10]
-10.0,[TCP:window:180]-duplicate-|,1,[-10]
-10.0,[TCP:urgptr:58938]-tamper{TCP:sport:replace:27400}-|,1,[-10]
-10.0,[TCP:ack:3286580195]-drop-|,1,[-10]
-10.0,[TCP:load:7mcjdq1q9s]-tamper{TCP:options-wscale:replace:66}-|,1,[-10]
-10.0,[TCP:options-timestamp:1966647586]-tamper{TCP:options-mss:replace:54490}-|,1,[-10]
-10.0,[TCP:dport:4350:2]-tamper{TCP:flags:corrupt}-|,1,[-10]
-10.0,"[TCP:options-eol:]-duplicate(fragment{tcp:-1:True},)-|[TCP:options-timestamp:2958012281]-duplicate-|",1,[-10]
-10.0,"[TCP:options-eol:]-tamper{TCP:ack:corrupt}(tamper{TCP:options-timestamp:replace:2900652306},)-|[TCP:options-timestamp:117597535]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,[TCP:chksum:18826]-tamper{TCP:window:corrupt}-|,1,[-10]
-10.0,[TCP:chksum:35984]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,[TCP:options-nop:]-fragment{tcp:-1:True}-|[TCP:chksum:57274:4]-tamper{TCP:options-nop:corrupt}-|,1,[-10]
-10.0,[TCP:reserved:1]-tamper{TCP:options-mss:replace:57383}-|,1,[-10]
-10.0,[TCP:window:100]-drop-|,1,[-10]
-10.0,[TCP:options-timestamp:4005503973]-tamper{TCP:dataofs:replace:10}-|,1,[-10]
-10.0,[TCP:load:__HTTP_REQUEST__]-tamper{TCP:dataofs:replace:13}-|,1,[-10]
-10.0,[TCP:options-timestamp:1490737730]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-uto:5]-tamper{TCP:seq:replace:929546301}-|,1,[-10]
-10.0,[TCP:options-timestamp:1722672396:2]-duplicate-|,1,[-10]
-10.0,[TCP:urgptr:53283:0]-drop-|,1,[-10]
-10.0,[TCP:options-uto:164:3]-tamper{TCP:sport:corrupt}-|,1,[-10]
-10.0,"[TCP:options-sackok::0]-fragment{tcp:-1:True}(tamper{TCP:options-sackok:corrupt},tamper{TCP:reserved:replace:3})-|[TCP:chksum:4649]-tamper{TCP:options-wscale:replace:121}-|",1,[-10]
-10.0,[TCP:options-altchksum:77:3]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-md5header:b4bd1898ae833d463192243a6e0cf352]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-nop:]-tamper{TCP:options-altchksumopt:corrupt}(duplicate,)-|[TCP:chksum:49636]-tamper{TCP:ack:replace:3769859925}-|",1,[-10]
-10.0,"[TCP:options-eol:]-duplicate(fragment{tcp:-1:True},)-|[TCP:flags:PUCN]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,[TCP:options-altchksum:67]-tamper{TCP:options-uto:replace:118}-|,1,[-10]
-10.0,[TCP:window:80]-tamper{TCP:window:corrupt}-|,1,[-10]
-10.0,[TCP:options-timestamp:1685724187]-tamper{TCP:load:replace:__DNS_REQUEST__}-|,1,[-10]
-10.0,"[TCP:flags:A]-duplicate(,duplicate)-|",1,[-10]
