Avg. Fitness,Strategy DNA,Evaluation Num,Evaluations
-1000.0,[TCP:reserved:0]-drop-|,1,[-1000]
-1000.0,"[TCP:options-sack::0]-fragment{ip:-1:False:32}(fragment{tcp:18:True:9}(,fragment{tcp:-1:True}),)-|[TCP:options-sack:]-|",1,[-1000]
-20.0,[TCP:options-altchksum:168]-drop-|[TCP:chksum:45357]-tamper{TCP:reserved:replace:0}-|,1,[-20]
-20.0,"[TCP:options-wscale:86:0]-tamper{TCP:options-timestamp:corrupt}(drop,)-|[TCP:sport:11774]-duplicate-|",1,[-20]
-20.0,"[TCP:dport:42747:2]-duplicate(tamper{TCP:options-sack:replace:},)-|[TCP:reserved:4]-duplicate-|",1,[-20]
-20.0,"[TCP:options-timestamp:4055788275]-tamper{TCP:dataofs:replace:5}(duplicate,)-|[TCP:chksum:1316]-duplicate-|",1,[-20]
-20.0,[TCP:load:__DNS_REQUEST__]-tamper{TCP:options-wscale:corrupt}-|[TCP:options-altchksum:92:3]-fragment{tcp:-1:True}-|,1,[-20]
-20.0,"[TCP:urgptr:25822]-tamper{TCP:options-eol:replace:}(duplicate,)-|[TCP:ack:798660451]-tamper{TCP:options-sackok:replace:}-|",1,[-20]
-20.0,"[TCP:options-md5header:3d0b87aa3db5f185c6ced99f8683f568]-fragment{tcp:-1:True}(,fragment{tcp:-1:False})-|[TCP:chksum:23847:0]-tamper{TCP:options-sackok:replace:}-|",1,[-20]
-20.0,"[TCP:options-timestamp:327397445:0]-tamper{TCP:options-uto:replace:86}(fragment{tcp:-1:False},)-|[TCP:options-altchksum:106]-duplicate-|",1,[-20]
-20.0,"[TCP:flags:RA]-tamper{TCP:options-sackok:replace:}(tamper{TCP:options-nop:corrupt},)-|[TCP:load:l6k0hmvbkm]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,"[TCP:dport:17308]-tamper{TCP:options-sack:corrupt}(tamper{TCP:urgptr:replace:31599},)-|[TCP:options-uto:213]-tamper{TCP:dataofs:replace:5}-|",1,[-20]
-20.0,"[TCP:dport:52840:2]-tamper{TCP:options-altchksum:corrupt}(drop,)-|[TCP:dport:46082]-fragment{tcp:-1:False}-|",1,[-20]
-20.0,[TCP:dport:25872]-|[TCP:options-uto:125:0]-tamper{TCP:options-uto:replace:252}-|,1,[-20]
-20.0,[TCP:options-wscale:227]-|[TCP:chksum:43682]-duplicate-|,1,[-20]
-20.0,[TCP:chksum:42433]-|[TCP:load:27te08wtg5]-duplicate-|,1,[-20]
-20.0,[TCP:options-uto:15:3]-duplicate-|[TCP:flags:S]-duplicate-|,1,[-20]
-20.0,[TCP:window:150:4]-|[TCP:dataofs:6]-tamper{TCP:chksum:corrupt}-|,1,[-20]
-10.0,"[TCP:reserved:2]-fragment{tcp:-1:True}(tamper{TCP:load:replace:},)-|",1,[-10]
-10.0,"[TCP:dport:23562:4]-fragment{tcp:-1:True}(,fragment{tcp:-1:False}(,tamper{TCP:chksum:corrupt}))-|",1,[-10]
-10.0,[TCP:urgptr:34794]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:dataofs:8]-tamper{TCP:ack:replace:686166138}-|,1,[-10]
-10.0,"[TCP:chksum:21562]-tamper{TCP:chksum:corrupt}(tamper{TCP:dataofs:replace:12},)-|",1,[-10]
-10.0,"[TCP:dataofs:1]-fragment{tcp:-1:False:5}(tamper{TCP:options-sack:replace:},)-|",1,[-10]
-10.0,[TCP:options-altchksum:203:1]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-wscale:74]-duplicate(,tamper{TCP:options-md5header:corrupt}(drop,))-|",1,[-10]
-10.0,[TCP:options-wscale:254]-tamper{TCP:options-sackok:replace:}-|,1,[-10]
-10.0,"[TCP:options-mss:33101:3]-tamper{TCP:urgptr:replace:8445}(tamper{TCP:window:replace:30},)-|",1,[-10]
-10.0,"[TCP:dport:10450]-tamper{TCP:options-mss:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:seq:2405452223]-tamper{TCP:load:corrupt}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:chksum:22713:2]-duplicate(fragment{tcp:36:False:18},)-|",1,[-10]
-10.0,"[TCP:options-wscale:28]-tamper{TCP:chksum:corrupt}(tamper{TCP:options-nop:corrupt}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:options-wscale:182]-fragment{tcp:-1:True}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,[TCP:seq:3921235605]-drop-|,1,[-10]
-10.0,"[TCP:sport:442]-tamper{TCP:flags:replace:A}(tamper{TCP:dport:replace:35629},)-|",1,[-10]
-10.0,[TCP:options-uto:15:3]-duplicate-|,1,[-10]
-10.0,"[TCP:dataofs:1]-duplicate(,tamper{TCP:urgptr:replace:42193}(tamper{TCP:options-sackok:replace:},))-|",1,[-10]
-10.0,[TCP:seq:968456785]-duplicate-|,1,[-10]
-10.0,"[TCP:ack:448290317]-duplicate(duplicate,fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:options-uto:85]-tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-uto:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-wscale:223]-tamper{TCP:options-eol:replace:}(duplicate,)-|",1,[-10]
-10.0,"[TCP:load:]-duplicate(,tamper{TCP:dataofs:replace:14}(tamper{TCP:options-eol:replace:},))-|",1,[-10]
-10.0,[TCP:options-altchksum:214:4]-tamper{TCP:options-md5header:replace:a7f453229e34fe4f411ca28e72ef6384}-|,1,[-10]
-10.0,"[TCP:options-altchksum:56]-duplicate(tamper{TCP:chksum:replace:53897}(tamper{TCP:options-eol:replace:},),)-|",1,[-10]
-10.0,"[TCP:window:30:2]-tamper{TCP:chksum:replace:10225}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:load:]-tamper{TCP:options-sackok:replace:}(tamper{TCP:options-md5header:replace:3c1f7a70d0e0541735af9e6ffee3b05f},)-|",1,[-10]
-10.0,"[TCP:flags:S:0]-duplicate(tamper{TCP:options-wscale:replace:20}(tamper{TCP:dport:replace:52794},),duplicate)-|",1,[-10]
-10.0,"[TCP:urgptr:32978]-fragment{tcp:8:True:4}(,fragment{tcp:-1:False})-|",1,[-10]
-10.0,"[TCP:load:qjcf79xpab]-tamper{TCP:sport:replace:231}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-mss:20323]-tamper{TCP:load:replace:}(tamper{TCP:ack:replace:2612146226},)-|",1,[-10]
-10.0,"[TCP:sport:18885]-fragment{tcp:-1:True:39}(,fragment{tcp:-1:True}(drop,))-|",1,[-10]
-10.0,[TCP:chksum:25762:3]-drop-|,1,[-10]
-10.0,"[TCP:seq:3689198139]-tamper{TCP:chksum:corrupt}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-md5header:b8b3bfa55d3a76b28dd7614de555f507]-tamper{TCP:urgptr:replace:26300}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-uto:243]-tamper{TCP:sport:replace:58238}(duplicate,)-|",1,[-10]
-10.0,"[TCP:seq:4287253408:4]-duplicate(fragment{tcp:-1:False},duplicate)-|",1,[-10]
-10.0,"[TCP:chksum:45167]-duplicate(,duplicate)-|",1,[-10]
-10.0,"[TCP:dport:35389]-tamper{TCP:options-altchksumopt:replace:}(drop,)-|",1,[-10]
-10.0,[TCP:options-timestamp:2413818017]-tamper{TCP:dataofs:replace:3}-|,1,[-10]
-10.0,"[TCP:dport:40815]-fragment{tcp:-1:False}(,fragment{tcp:-1:False})-|[TCP:options-eol:]-duplicate-|",1,[-10]
-10.0,[TCP:options-timestamp:860566667]-duplicate-|,1,[-10]
-10.0,[TCP:dataofs:1:3]-drop-|,1,[-10]
-10.0,"[TCP:sport:11337]-duplicate(duplicate(tamper{TCP:options-nop:replace:},tamper{TCP:urgptr:corrupt}),)-|",1,[-10]
-10.0,"[TCP:reserved:2]-fragment{tcp:-1:False}(fragment{ip:-1:False},)-|",1,[-10]
-10.0,[TCP:seq:2992044947]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,"[TCP:chksum:9521]-tamper{TCP:options-sackok:replace:}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:options-uto:92]-fragment{tcp:-1:True}(tamper{TCP:options-sack:replace:}(tamper{TCP:chksum:replace:1011},),)-|",1,[-10]
-10.0,[TCP:sport:31945:1]-drop-|,1,[-10]
-10.0,"[TCP:options-wscale:239]-tamper{TCP:ack:corrupt}(tamper{TCP:options-eol:replace:},)-|",1,[-10]
-10.0,[TCP:chksum:44526]-duplicate-|,1,[-10]
-10.0,[TCP:options-timestamp:3542858413]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-timestamp:3980780499]-drop-|,1,[-10]
-10.0,"[TCP:window:60]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:ack:2474211288:0]-tamper{TCP:options-nop:corrupt}(duplicate(tamper{TCP:dataofs:corrupt},),)-|",1,[-10]
-10.0,[TCP:chksum:7199]-tamper{TCP:options-md5header:replace:6932d4e88db830c06f82a9a45c852683}-|,1,[-10]
-10.0,[TCP:seq:4105374612]-tamper{TCP:options-nop:corrupt}-|,1,[-10]
-10.0,"[TCP:reserved:2]-duplicate(tamper{TCP:chksum:replace:24617},fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:ack:25248778]-duplicate(fragment{tcp:-1:True}(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-altchksum:231]-duplicate-|,1,[-10]
-10.0,"[TCP:chksum:54352:1]-duplicate(duplicate(duplicate,),)-|",1,[-10]
-10.0,"[TCP:flags:FSRPAUECN]-fragment{tcp:-1:True}(,duplicate)-|",1,[-10]
-10.0,"[TCP:sport:34625]-tamper{TCP:window:replace:180}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-mss:61528]-tamper{TCP:dataofs:replace:10}-|,1,[-10]
-10.0,"[TCP:seq:2051278495]-tamper{TCP:dataofs:replace:1}(fragment{tcp:-1:True}(,duplicate),)-|",1,[-10]
-10.0,"[TCP:reserved:4]-fragment{tcp:-1:False}(,tamper{TCP:reserved:replace:6})-|",1,[-10]
-10.0,[TCP:options-uto:125:0]-tamper{TCP:options-mss:replace:25907}-|,1,[-10]
-10.0,"[TCP:options-wscale:67]-fragment{tcp:-1:False}(,fragment{tcp:-1:False:5})-|",1,[-10]
-10.0,[TCP:options-md5header:f187a0d89e09a18d0ac9a72e29de3fc3]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:reserved:7]-duplicate(tamper{TCP:dataofs:replace:9},fragment{tcp:-1:True})-|",1,[-10]
-10.0,"[TCP:chksum:60089]-duplicate(tamper{TCP:chksum:corrupt}(tamper{TCP:options-md5header:corrupt},),)-|",1,[-10]
-10.0,"[TCP:options-sack:]-duplicate(,drop)-|[TCP:options-mss:27781]-tamper{TCP:options-nop:corrupt}-|",1,[-10]
-10.0,"[TCP:options-uto:125]-duplicate(tamper{TCP:options-altchksumopt:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-md5header:bf74ef43d8deb84d7646e51ee6191809]-fragment{tcp:-1:False}(duplicate(tamper{TCP:options-sackok:replace:},),)-|",1,[-10]
-10.0,"[TCP:ack:324062627]-tamper{TCP:reserved:corrupt}(duplicate,)-|",1,[-10]
-10.0,[TCP:ack:3764676586]-tamper{TCP:ack:corrupt}-|,1,[-10]
-10.0,"[TCP:reserved:5:0]-tamper{TCP:window:replace:80}(fragment{tcp:-1:True},)-|",1,[-10]
-10.0,"[TCP:urgptr:6868]-duplicate(drop,)-|",1,[-10]
-10.0,"[TCP:options-sackok:]-tamper{TCP:options-altchksum:corrupt}(fragment{tcp:-1:True},)-|[TCP:options-md5header:7b6f53f0e3af1805c952e1f09c0fead5]-duplicate-|",1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__]-drop-|,1,[-10]
-10.0,[TCP:options-timestamp:1958990761]-tamper{TCP:options-altchksum:corrupt}-|,1,[-10]
-10.0,[TCP:ack:1385475299]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-timestamp:2394480305]-duplicate(tamper{TCP:options-wscale:corrupt},drop)-|",1,[-10]
-10.0,"[TCP:options-md5header:b8fc9bfa023e21c374f3c1734e65f6f6]-duplicate(tamper{TCP:chksum:replace:32081},)-|",1,[-10]
-10.0,"[TCP:options-uto:232]-tamper{TCP:options-mss:corrupt}(tamper{TCP:options-md5header:replace:5e0d07812e70a7f56a570791a3e06fb1}(drop,),)-|",1,[-10]
-10.0,[TCP:options-mss:43303]-fragment{tcp:24:False}-|,1,[-10]
-10.0,[TCP:options-mss:53048]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:options-mss:13075]-tamper{TCP:ack:replace:886251278}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dport:10521]-duplicate(,tamper{TCP:options-altchksumopt:corrupt}(tamper{TCP:options-sackok:replace:},))-|",1,[-10]
-10.0,[TCP:urgptr:37809]-tamper{TCP:options-mss:corrupt}-|,1,[-10]
-10.0,"[TCP:ack:19445548]-fragment{tcp:-1:True}(tamper{TCP:dport:corrupt},duplicate)-|",1,[-10]
-10.0,"[TCP:options-sack::2]-fragment{tcp:-1:False}(fragment{tcp:-1:False},)-|[TCP:options-mss:21122]-duplicate-|",1,[-10]
-10.0,[TCP:flags:UEC]-fragment{ip:-1:False}-|,1,[-10]
-10.0,"[TCP:options-altchksum:246]-tamper{TCP:options-mss:corrupt}(tamper{TCP:flags:corrupt}(duplicate,),)-|",1,[-10]
-10.0,"[TCP:options-uto:122]-duplicate(tamper{TCP:flags:corrupt},)-|",1,[-10]
-10.0,[TCP:window:70:3]-drop-|,1,[-10]
-10.0,"[TCP:ack:1888606576]-tamper{TCP:options-altchksumopt:replace:}(duplicate,)-|",1,[-10]
-10.0,[TCP:options-mss:16581]-tamper{TCP:sport:replace:45579}-|,1,[-10]
-10.0,"[TCP:window:60]-fragment{tcp:-1:True}(,duplicate)-|",1,[-10]
-10.0,[TCP:dport:60544]-drop-|,1,[-10]
-10.0,[TCP:options-altchksum:135]-drop-|,1,[-10]
-10.0,"[TCP:window:70]-tamper{TCP:reserved:corrupt}(tamper{TCP:options-altchksumopt:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-wscale:251]-tamper{TCP:options-sack:replace:}(tamper{TCP:dport:replace:58809},)-|",1,[-10]
-10.0,"[TCP:chksum:43104:0]-tamper{TCP:seq:replace:440698369}(tamper{TCP:options-eol:replace:},)-|",1,[-10]
-10.0,"[TCP:flags:FRUN:3]-duplicate(drop,)-|",1,[-10]
-10.0,"[TCP:options-wscale:156:4]-tamper{TCP:window:corrupt}(tamper{TCP:flags:replace:SRPUEC},)-|",1,[-10]
-10.0,"[TCP:seq:2052028286]-tamper{TCP:options-eol:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-mss:9244]-duplicate(tamper{TCP:options-altchksum:replace:168},)-|",1,[-10]
-10.0,"[TCP:chksum:34310]-fragment{tcp:-1:False}(tamper{TCP:options-md5header:corrupt},duplicate)-|",1,[-10]
-10.0,[TCP:options-uto:36:4]-duplicate-|,1,[-10]
-10.0,"[TCP:options-mss:59399]-fragment{ip:-1:False:5}(,duplicate)-|",1,[-10]
-10.0,[TCP:reserved:2]-duplicate-|,1,[-10]
-10.0,"[TCP:reserved:4]-tamper{TCP:options-sack:corrupt}(drop,)-|",1,[-10]
-10.0,"[TCP:ack:1727024895:1]-duplicate(,drop)-|",1,[-10]
-10.0,[TCP:dataofs:14]-drop-|,1,[-10]
-10.0,"[TCP:dataofs:4]-duplicate(,drop)-|",1,[-10]
-10.0,[TCP:options-wscale:59]-drop-|,1,[-10]
-10.0,[TCP:options-uto:164]-drop-|,1,[-10]
-10.0,[TCP:options-timestamp:2101294904]-tamper{TCP:options-nop:replace:}-|,1,[-10]
-10.0,[TCP:flags:R:0]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,"[TCP:seq:3230100968]-duplicate(tamper{TCP:dport:corrupt},)-|",1,[-10]
-10.0,"[TCP:flags:]-duplicate(,fragment{tcp:-1:False})-|",1,[-10]
-10.0,[TCP:options-wscale:59]-tamper{TCP:dport:replace:24692}-|,1,[-10]
-10.0,[TCP:load:__DNS_REQUEST__]-duplicate-|,1,[-10]
-10.0,"[TCP:options-timestamp:2745602610]-duplicate(tamper{TCP:options-timestamp:corrupt}(duplicate,),)-|",1,[-10]
-10.0,[TCP:reserved:7]-duplicate-|,1,[-10]
-10.0,"[TCP:window:30]-tamper{TCP:options-sack:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:flags:FA]-duplicate(tamper{TCP:options-wscale:replace:219},tamper{TCP:dport:corrupt})-|",1,[-10]
-10.0,"[TCP:options-timestamp:1628773763]-duplicate(duplicate(fragment{tcp:-1:True},),)-|",1,[-10]
-10.0,"[TCP:urgptr:31568]-tamper{TCP:options-uto:corrupt}(tamper{TCP:options-wscale:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-timestamp:1245679493]-tamper{TCP:options-eol:replace:}(drop,)-|",1,[-10]
-10.0,"[TCP:seq:2072120915]-tamper{TCP:options-mss:corrupt}(duplicate,)-|",1,[-10]
-10.0,"[TCP:ack:1736647194]-fragment{tcp:-1:False}(tamper{TCP:reserved:replace:5},)-|",1,[-10]
-10.0,"[TCP:window:190:3]-fragment{tcp:-1:True}(,tamper{TCP:options-altchksum:replace:168})-|",1,[-10]
-10.0,"[TCP:dport:23098]-duplicate(tamper{TCP:sport:replace:33376},)-|",1,[-10]
-10.0,"[TCP:reserved:6]-tamper{TCP:ack:corrupt}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:sport:50522]-tamper{TCP:options-sack:replace:}(drop,)-|",1,[-10]
-10.0,"[TCP:options-mss:34592]-tamper{TCP:reserved:corrupt}(fragment{tcp:-1:False},)-|",1,[-10]
-10.0,"[TCP:options-eol:]-fragment{tcp:-1:True}(duplicate,)-|[TCP:window:40]-tamper{TCP:ack:corrupt}-|",1,[-10]
-10.0,"[TCP:options-mss:57530:4]-tamper{TCP:options-sackok:replace:}(tamper{TCP:options-timestamp:replace:4271709731}(drop,),)-|",1,[-10]
-10.0,"[TCP:dport:31190]-tamper{TCP:dport:replace:12044}(fragment{tcp:-1:True}(duplicate,),)-|",1,[-10]
-10.0,[TCP:options-uto:128:3]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,"[TCP:urgptr:4378]-tamper{TCP:options-altchksum:replace:32}(tamper{TCP:dport:replace:26996}(drop,),)-|",1,[-10]
-10.0,"[TCP:sport:11761]-tamper{TCP:options-altchksumopt:replace:}(tamper{TCP:ack:corrupt},)-|",1,[-10]
-10.0,"[TCP:reserved:2:1]-tamper{TCP:sport:replace:5595}(duplicate,)-|",1,[-10]
-10.0,"[TCP:dataofs:5:1]-tamper{TCP:options-uto:replace:140}(duplicate,)-|",1,[-10]
-10.0,"[TCP:options-eol:]-tamper{TCP:reserved:replace:5}(duplicate,)-|[TCP:urgptr:20816:4]-fragment{tcp:-1:True}-|",1,[-10]
-10.0,"[TCP:options-altchksum:139]-duplicate(duplicate,)-|",1,[-10]
-10.0,"[TCP:flags:FPU]-duplicate(,fragment{ip:6:False:3})-|",1,[-10]
-10.0,[TCP:ack:2840001301]-tamper{TCP:window:replace:40}-|,1,[-10]
-10.0,[TCP:urgptr:51521]-tamper{TCP:options-sackok:corrupt}-|,1,[-10]
-10.0,"[TCP:window:160:1]-fragment{tcp:-1:False}(tamper{TCP:sport:corrupt},tamper{TCP:reserved:replace:3})-|",1,[-10]
-10.0,[TCP:chksum:64295]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,"[TCP:window:70]-tamper{TCP:reserved:replace:2}(fragment{tcp:-1:True}(fragment{tcp:-1:False},),)-|",1,[-10]
-10.0,"[TCP:options-wscale:197]-duplicate(,duplicate)-|",1,[-10]
-10.0,[TCP:dataofs:12:2]-drop-|,1,[-10]
-10.0,"[TCP:options-mss:50215]-tamper{TCP:flags:replace:EN}(tamper{TCP:options-nop:corrupt},)-|",1,[-10]
-10.0,"[TCP:options-sackok:]-duplicate(tamper{TCP:options-mss:corrupt}(tamper{TCP:options-timestamp:replace:1609807532},),)-|[TCP:seq:1711946234:0]-tamper{TCP:options-sackok:replace:}-|",1,[-10]
-10.0,[TCP:options-timestamp:3496923200:3]-tamper{TCP:options-sack:replace:}-|,1,[-10]
-10.0,[TCP:urgptr:17584]-duplicate-|,1,[-10]
-10.0,[TCP:ack:941483801]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-wscale:154]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:dport:53170]-tamper{TCP:options-sack:replace:}-|,1,[-10]
-10.0,[TCP:urgptr:32978]-fragment{tcp:8:True:4}-|,1,[-10]
-10.0,[TCP:dport:25872]-tamper{TCP:options-uto:replace:84}-|,1,[-10]
-10.0,[TCP:options-md5header:3cff8c2eb7b2bd820b3066b2e8a1293b]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-uto:182]-tamper{TCP:urgptr:corrupt}-|,1,[-10]
-10.0,[TCP:ack:1878719263:2]-tamper{TCP:options-timestamp:replace:3949793249}-|,1,[-10]
-10.0,[TCP:seq:3689198139]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:load:ik1lja4pg1]-duplicate-|,1,[-10]
-10.0,[TCP:window:140]-duplicate-|,1,[-10]
-10.0,[TCP:dataofs:6]-|[TCP:options-nop:]-tamper{TCP:sport:replace:56876}-|,1,[-10]
-10.0,"[TCP:options-eol:]-tamper{TCP:options-sackok:corrupt}(fragment{tcp:-1:False}(duplicate,),)-|[TCP:seq:1007972378]-fragment{tcp:-1:False}-|",1,[-10]
-10.0,[TCP:window:80]-tamper{TCP:options-eol:corrupt}-|,1,[-10]
-10.0,[TCP:options-mss:36670]-tamper{TCP:dataofs:corrupt}-|,1,[-10]
-10.0,[TCP:load:1ga79e90jq]-tamper{TCP:sport:replace:35757}-|,1,[-10]
-10.0,[TCP:chksum:42433]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-10]
-10.0,"[TCP:options-sack::0]-fragment{tcp:-1:False}(duplicate,)-|[TCP:sport:39738]-tamper{TCP:options-altchksum:corrupt}-|",1,[-10]
-10.0,[TCP:ack:700462361]-duplicate-|,1,[-10]
-10.0,[TCP:window:150:4]-tamper{TCP:ack:replace:3808560485}-|,1,[-10]
-10.0,[TCP:flags:F]-tamper{TCP:urgptr:replace:32673}-|,1,[-10]
-10.0,[TCP:reserved:1:4]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-wscale:228]-tamper{TCP:options-altchksum:corrupt}-|,1,[-10]
-10.0,[TCP:dataofs:5]-tamper{TCP:load:corrupt}-|,1,[-10]
-10.0,"[TCP:options-wscale:74]-duplicate(tamper{TCP:load:replace:dx3smtfuuz},tamper{TCP:options-md5header:corrupt}(drop,))-|",1,[-10]
-10.0,[TCP:reserved:7]-tamper{TCP:options-altchksumopt:replace:}-|,1,[-10]
-10.0,[TCP:options-eol:]-duplicate-|[TCP:window:80:1]-tamper{TCP:ack:replace:2512890128}-|,1,[-10]
-10.0,[TCP:chksum:43954]-fragment{tcp:-1:True}-|,1,[-10]
-10.0,[TCP:options-mss:41342]-duplicate-|,1,[-10]
-10.0,[TCP:seq:2844235105]-tamper{TCP:options-altchksumopt:corrupt}-|,1,[-10]
-10.0,[TCP:window:130:2]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:options-altchksum:205]-tamper{TCP:dport:replace:32928}-|,1,[-10]
-10.0,[TCP:seq:1572189143]-duplicate-|,1,[-10]
-10.0,[TCP:options-timestamp:3314365914]-duplicate-|,1,[-10]
-10.0,[TCP:window:90]-fragment{tcp:-1:False}-|,1,[-10]
-10.0,[TCP:ack:1359155913]-tamper{TCP:seq:replace:371048827}-|,1,[-10]
-10.0,[TCP:dport:25872]-tamper{TCP:options-wscale:corrupt}-|,1,[-10]
